time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-01 00:00:00+00:00,125,13,361,40
2024-11-02 00:00:00+00:00,5,5,126,17
2024-11-03 00:00:00+00:00,2,2,77,12
2024-11-04 00:00:00+00:00,73,15,233,28
2024-11-05 00:00:00+00:00,76,15,310,32
2024-11-06 00:00:00+00:00,33,6,243,31
2024-11-07 00:00:00+00:00,107,10,235,32
2024-11-08 00:00:00+00:00,48,14,351,26
2024-11-09 00:00:00+00:00,73,14,450,23
2024-11-10 00:00:00+00:00,43,11,465,20
2024-11-11 00:00:00+00:00,174,18,370,32
2024-11-12 00:00:00+00:00,220,21,697,28
2024-11-13 00:00:00+00:00,94,12,358,35
2024-11-14 00:00:00+00:00,182,23,259,27
