time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-27 00:00:00+00:00,48,7,154,24
2024-09-28 00:00:00+00:00,87,14,105,17
2024-09-29 00:00:00+00:00,82,8,214,18
2024-09-30 00:00:00+00:00,82,14,214,30
2024-10-01 00:00:00+00:00,70,9,257,41
2024-10-02 00:00:00+00:00,32,5,182,36
2024-10-03 00:00:00+00:00,70,13,103,22
2024-10-04 00:00:00+00:00,39,8,149,29
2024-10-05 00:00:00+00:00,17,3,48,14
2024-10-06 00:00:00+00:00,6,4,15,9
2024-10-07 00:00:00+00:00,178,26,450,32
2024-10-08 00:00:00+00:00,224,21,581,29
2024-10-09 00:00:00+00:00,76,16,339,32
2024-10-10 00:00:00+00:00,92,10,253,30
