time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-26 00:00:00+00:00,52,11,145,16
2024-10-27 00:00:00+00:00,40,8,161,14
2024-10-28 00:00:00+00:00,35,7,418,32
2024-10-29 00:00:00+00:00,19,8,251,33
2024-10-30 00:00:00+00:00,118,16,599,26
2024-10-31 00:00:00+00:00,84,15,745,31
2024-11-01 00:00:00+00:00,125,13,361,40
2024-11-02 00:00:00+00:00,5,5,126,17
2024-11-03 00:00:00+00:00,2,2,77,12
2024-11-04 00:00:00+00:00,73,15,233,28
2024-11-05 00:00:00+00:00,76,15,310,32
2024-11-06 00:00:00+00:00,33,6,243,31
2024-11-07 00:00:00+00:00,107,10,235,32
2024-11-08 00:00:00+00:00,34,11,349,25
