time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-21 00:00:00+00:00,4,4,87,21
2024-09-22 00:00:00+00:00,14,3,94,19
2024-09-23 00:00:00+00:00,60,9,530,33
2024-09-24 00:00:00+00:00,7,4,407,34
2024-09-25 00:00:00+00:00,113,19,450,41
2024-09-26 00:00:00+00:00,14,5,199,25
2024-09-27 00:00:00+00:00,48,7,154,24
2024-09-28 00:00:00+00:00,87,14,105,17
2024-09-29 00:00:00+00:00,82,8,214,18
2024-09-30 00:00:00+00:00,82,14,214,30
2024-10-01 00:00:00+00:00,70,9,257,41
2024-10-02 00:00:00+00:00,32,5,182,36
2024-10-03 00:00:00+00:00,70,13,103,22
2024-10-04 00:00:00+00:00,38,8,149,29
