time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-17 00:00:00+00:00,18,6,167,27
2024-12-18 00:00:00+00:00,72,6,496,20
2024-12-19 00:00:00+00:00,28,7,188,15
2024-12-20 00:00:00+00:00,8,5,91,37
2024-12-21 00:00:00+00:00,8,5,115,9
2024-12-22 00:00:00+00:00,4,4,18,12
2024-12-23 00:00:00+00:00,3,1,23,11
2024-12-24 00:00:00+00:00,44,9,204,19
2024-12-25 00:00:00+00:00,85,12,188,17
2024-12-26 00:00:00+00:00,95,13,429,23
2024-12-27 00:00:00+00:00,102,21,406,23
2024-12-28 00:00:00+00:00,32,11,62,14
2024-12-29 00:00:00+00:00,12,3,98,14
2024-12-30 00:00:00+00:00,22,5,80,19
