time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-22 00:00:00+00:00,4,4,18,12
2024-12-23 00:00:00+00:00,3,1,23,11
2024-12-24 00:00:00+00:00,44,9,204,19
2024-12-25 00:00:00+00:00,85,12,188,17
2024-12-26 00:00:00+00:00,95,13,429,23
2024-12-27 00:00:00+00:00,102,21,406,23
2024-12-28 00:00:00+00:00,32,11,62,14
2024-12-29 00:00:00+00:00,12,3,98,14
2024-12-30 00:00:00+00:00,26,8,80,19
2024-12-31 00:00:00+00:00,44,11,174,32
2025-01-01 00:00:00+00:00,65,17,164,24
2025-01-02 00:00:00+00:00,52,12,116,21
2025-01-03 00:00:00+00:00,71,14,192,33
2025-01-04 00:00:00+00:00,13,6,222,35
