time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-13 00:00:00+00:00,81,15,288,30
2024-08-14 00:00:00+00:00,123,15,307,30
2024-08-15 00:00:00+00:00,161,16,412,37
2024-08-16 00:00:00+00:00,153,26,382,32
2024-08-17 00:00:00+00:00,170,18,334,18
2024-08-18 00:00:00+00:00,59,9,190,17
2024-08-19 00:00:00+00:00,94,17,443,29
2024-08-20 00:00:00+00:00,31,7,312,24
2024-08-21 00:00:00+00:00,79,7,548,23
2024-08-22 00:00:00+00:00,56,8,404,18
2024-08-23 00:00:00+00:00,25,5,360,23
2024-08-24 00:00:00+00:00,43,8,240,14
2024-08-25 00:00:00+00:00,46,5,280,18
2024-08-26 00:00:00+00:00,135,15,218,36
